"Country","native.prop"
"Austria-Slovenia",0.5
"Baltic",0.166666666666667
"Carpathian",0.466666666666667
"Denmark-Belgium",0.266666666666667
"France-Italy",0.5
"Hungary",0.366666666666667
"Ireland",0.1
"Oder-Elbe Region",0.433333333333333
"Portugal",0.166666666666667
"Romania",0.533333333333333
"Scandinavia",0.266666666666667
"South-East Balkan",0.533333333333333
"Spain",0.433333333333333
"Switzerland",0.433333333333333
"Turkey",0.433333333333333
"United Kingdom",0.233333333333333
"Western Balkans",0.5
